country,city,street_name,street_number,postal_code
Portugal,Moita da Roda,Bonner,585,2425-839
Vietnam,Chư Prông,7th,4828,
American Samoa,Leone,Fairview,1,96799
Brazil,Floriano,Homewood,97336,64800-000
France,Boulogne-Billancourt,Hintze,0,92511 CEDEX
Portugal,Cardal,Londonderry,11540,2260-510
Mexico,San Antonio,Kings,65435,72089
Philippines,Tambalisa,Lukken,7608,8513
Brazil,Jaguarão,Scoville,6989,96300-000
Canada,Nackawic,Menomonie,577,E6G
Colombia,San Francisco,Anthes,721,253608
Sweden,Kungshamn,Texas,896,456 42
France,Montpellier,Susan,55,34194 CEDEX 5
France,Rezé,Summer Ridge,73,44409 CEDEX
Luxembourg,Lamadelaine,Mallard,34758,L-4888
Sweden,Stockholm,Texas,69454,118 55
Philippines,Nugas,Barnett,380,3102
Czech Republic,Černý Most,Gateway,8,198 00
Japan,Uozu,Jay,9589,938-0049
China,Linxi,Judy,1720,
Russia,Zelenodolsk,Dottie,1,422549
Greece,Féres,Harbort,3,
China,Dingtou,Loftsgordon,5,
Brazil,Lençóis Paulista,Lakewood,9382,18680-000
Malaysia,Petaling Jaya,Alpine,3407,46675
Czech Republic,Červené Pečky,Rusk,65,281 21
Iran,Sanandaj,Sauthoff,24544,
Morocco,Tit Mellil,Sunfield,2,
France,Châtellerault,Oak Valley,6473,86104 CEDEX
Portugal,Belverde,Hoepker,772,2845-487
Greece,Kallíthiron,Hanson,63,
China,Shiyaogou,Service,4687,
China,Dasha,Eagle Crest,8991,
Greece,Aiánteio,Green,27830,
Iran,Farmahīn,Pleasure,559,
Finland,Turenki,Comanche,3,14201
China,Fengtai Chengguanzhen,Del Sol,661,
China,Zhangbei,Mandrake,3994,
Philippines,Santa Maria,Shopko,970,8011
China,Heshang,Artisan,32,
Nigeria,Runka,Debra,6243,
Russia,Sernovodsk,Hooker,9,446533
Bosnia and Herzegovina,Dobrljin,Rigney,46,
Honduras,El Progreso,Reindahl,859,
China,Lingyang,Dorton,591,
Syria,Şaydnāyā,Anzinger,97,
United States,Houston,Swallow,70,77260
Israel,Qiryat Motzkin,Summit,80726,
Indonesia,Umburarameha,Annamark,5,
Sweden,Nyköping,Monument,9424,611 24
Namibia,Grootfontein,Londonderry,92,
Netherlands,Soest,Maple Wood,7887,3764
Peru,Huancaray,Cordelia,111,
Egypt,Al Ibrāhīmīyah,Hauk,4679,
Philippines,Victoria,Corry,353,6406
Philippines,Alannay,Hovde,72,3524
Canada,Aldergrove,Lighthouse Bay,60,V4W
Philippines,Tulay na Lupa,Bashford,80,4612
Nigeria,Minna,Sachs,7,
Uganda,Amolatar,East,925,
China,Dahedian,Crescent Oaks,5,
France,Istres,Sloan,2,13802 CEDEX
South Africa,Ventersdorp,Rigney,798,2712
Palau,Koror Town,Beilfuss,56538,
Kazakhstan,Urzhar,Hanover,5,
Philippines,Alacaygan,Carberry,7,1212
Tunisia,Tataouine,Harbort,84342,
Lithuania,Eišiškės,2nd,60920,17017
Honduras,Joconal,Northwestern,5959,
Ireland,Askeaton,Mendota,363,P51
Chile,Curanilahue,Kropf,92,
Indonesia,Krajan Tegalombo,Village Green,7347,
Finland,Rautjärvi,Reinke,59530,56610
Japan,Kamigyō-ku,Pepper Wood,22,612-8447
Poland,Stoczek,Jackson,9,07-104
China,Yeping,Merchant,4,
China,Changtan,Calypso,38678,
Canada,Prévost,Grim,433,T7Z
Russia,Tyoply Stan,Fuller,782,391237
Russia,Sal’sk,Oakridge,40219,347639
Nigeria,Madagali,Hoepker,7,
Philippines,Taytayan,Fallview,50,1470
Serbia,Niška Banja,Kensington,46152,
Vietnam,Nam Đàn,Stephen,1,
Ivory Coast,Odienné,Crest Line,48,
China,Juxing,Spaight,7,
United States,Phoenix,Lindbergh,61,85062
Indonesia,Mandala,Hanson,3331,
Poland,Frydek,Sutherland,1,43-229
Dominican Republic,Padre Las Casas,Bultman,8815,10702
Ukraine,Lyubashivka,Petterle,3,
Brazil,Porto Velho,Dixon,3,78900-000
Japan,Fujinomiya,Loftsgordon,6183,421-3305
China,Xilaiqiao,Farwell,35,
Indonesia,Nobo,Ohio,71858,
United States,Santa Ana,5th,6281,92725
China,Mianduhe,Roxbury,56,
Russia,Zelenodolsk,West,7546,422549
Indonesia,Krajan,Steensland,65944,
Czech Republic,Golčův Jeníkov,Sugar,9,582 82
Sweden,Ekerö,Service,3,178 32
France,Épinal,Sullivan,80066,88099 CEDEX 9
Madagascar,Tsiombe,Mosinee,8020,
Poland,Święciechowa,Quincy,4,64-115
China,Jinggongqiao,Sutherland,4916,
Peru,Barranca,6th,6,
Mongolia,Sergelen,Village Green,8629,
United States,Anchorage,Union,89018,99507
Sweden,Skoghall,Pierstorff,178,663 30
China,Chaodi,Vermont,33,
Slovenia,Lucija,American Ash,410,6333
France,Blaye,Columbus,25,33394 CEDEX
Slovenia,Cerklje na Gorenjskem,Westerfield,112,4207
Uzbekistan,Yaypan,Talisman,6,
Philippines,Balaoang,Burrows,92178,2509
Peru,Chignayhua,Tomscot,806,
Indonesia,Belang,Mitchell,46,
China,Futang,Walton,78,
China,Liurenba,Lighthouse Bay,626,
Philippines,San Casimiro,Corry,596,4332
Czech Republic,Holýšov,Lotheville,13645,345 62
United States,San Antonio,High Crossing,79868,78205
Greece,Velestíno,Tony,4,
China,Shunyi,Sage,1,
China,Qinling Jieban,Barby,0,
Brazil,Cupira,Hanson,98,55460-000
Brazil,Aracruz,Sauthoff,16,29190-000
Philippines,Mantang,Dawn,38607,6816
Israel,Rosh Ha‘Ayin,Lakeland,7,
China,Chengzhong,Green Ridge,606,
Indonesia,Tumpukrenteng,Manley,60380,
South Korea,Kinzan,Carey,944,
Austria,Sankt Lorenzen im Mürztal,Upham,394,8644
China,Yuyang,Eggendart,1,
China,Beigucheng,Mcbride,8,
Indonesia,Bun Barat,Valley Edge,92781,
Indonesia,Kalibuntu,Park Meadow,90,
Guatemala,San Antonio Ilotenango,Laurel,31676,14008
Yemen,Al Ḩudaydah,Golf Course,77950,
China,Zhanggongmiao,Nelson,1649,
Portugal,Foz do Arelho,Hoard,587,2500-454
Croatia,Galovac,Northview,22325,43000
China,Nanyaojie,Sutteridge,526,
Honduras,San Francisco de Coray,Monument,1499,
Mexico,Los Mangos,Continental,9,93228
Japan,Gōtsuchō,Old Shore,99,699-3162
United States,Toledo,Crest Line,79689,43605
Israel,West Jerusalem,1st,6835,
Russia,Monino,Carberry,85,142450
Thailand,Taphan Hin,Scoville,4,66110
China,Yangyu,Spaight,32724,
China,Yangdu,Russell,7101,
Colombia,Belalcazar,Scofield,157,177007
China,Zhuxi,Shelley,7092,
Japan,Shizunai-furukawachō,Susan,74,942-0213
United Kingdom,Glasgow,Acker,7,G4
South Africa,Utrecht,Mosinee,68,2980
Morocco,Larache,Fieldstone,8,
Belarus,Kalodzishchy,Messerschmidt,81604,
Kenya,Muhoroni,Bartillon,7190,
Portugal,Montemor-o-Velho,Ronald Regan,7394,3140-253
Portugal,Rio Covo ( Santa Eulália ),North,9880,4755-484
Kenya,Kitale,Jana,99347,
China,Taoyuan,Corben,536,
China,Da’an,Rusk,30,
Indonesia,Gotputuk,Dennis,1,
Serbia,Trstenik,Nelson,3,
Thailand,Trakan Phut Phon,Kingsford,8117,90120
Indonesia,Sumberjeruk,Iowa,67,
Russia,Borzoy,West,82,366406
Finland,Lammi,Twin Pines,0,16901
Poland,Szczawno-Zdrój,Gateway,660,58-310
Colombia,Ciénaga de Oro,Bluejay,3643,232538
Russia,Novosheshminsk,Walton,352,423190
Kazakhstan,Aqtoghay,Quincy,271,
Oman,Haymā’,Sachtjen,73,
China,Dianfang,Pleasure,5,
Portugal,Bilhó,Moulton,7109,4880-076
China,Xinquan,Elgar,56624,
Portugal,Odeleite,Donald,610,8950-355
Mongolia,Ulaanbaatar,Weeping Birch,44,
China,Lingtou,Hoard,420,
Portugal,Sezures,Carpenter,9,3550-286
Dominica,Portsmouth,Columbus,60430,
China,Xinhua,Lakeland,78,
Bulgaria,Vetrino,2nd,8796,9225
Russia,Prokhorovka,Carpenter,500,309000
Sweden,Dorotea,Kinsman,10893,917 32
Cambodia,Pailin,Little Fleur,4279,
China,Jiangduo,Warrior,6,
Philippines,Besao,Sachtjen,596,2618
Japan,Okunoya,Loomis,56,314-0116
Greece,Chrysoúpolis,Del Sol,71872,
China,Chenqing,Saint Paul,99,
Indonesia,Dulolong,Barby,3,
Russia,Skovorodino,Sheridan,25,676015
Jamaica,Ocho Rios,Elka,6,
Ukraine,Skalat,Hanson,920,
Russia,Khandagayty,Fieldstone,0,668134
Poland,Józefosław,Lakeland,30,05-509
Czech Republic,Opatov,Vidon,2352,675 28
Mexico,Las Flores,Anderson,22,87395
France,Boissy-Saint-Léger,Bellgrove,655,94474 CEDEX
Nepal,Ilām,Village,6,
China,Zhonghouhe,Spenser,311,
Cameroon,Fundong,Gateway,54,
Indonesia,Kawangkoan,Dayton,473,
Moldova,Briceni,John Wall,8,MD-5114
Bosnia and Herzegovina,Svojat,Schlimgen,758,
Albania,Shënmëri,Grim,7373,
Latvia,Riebiņi,Towne,51,
Iraq,Kifrī,Carpenter,5751,
United States,Phoenix,Colorado,45689,85030
Portugal,Castelo de Vide,2nd,35131,7320-105
Brazil,Trindade,Paget,8,56250-000
Macedonia,Bosilovo,Elmside,37,2431
Netherlands,Rotterdam postbusnummers,Bultman,90935,3009
Indonesia,Koncang,Mallard,2,
Serbia,Niška Banja,New Castle,864,
France,Nice,Helena,3522,06016 CEDEX 1
Brazil,Vitória de Santo Antão,Mayer,3355,55600-000
Philippines,Calaba,Stoughton,14,3109
Russia,Kovylkino,Northview,59,431355
Brazil,Iporá,Straubel,587,76200-000
Armenia,Geghanist,Artisan,965,
Brazil,Costeira do Pirajubae,Armistice,72626,88000-000
Indonesia,Karanglincak,Golf View,811,
Greece,Kallithéa,Daystar,2559,
China,Hushi,Gulseth,1,
Norway,Sandefjord,Clarendon,5,3225
Croatia,Brckovljani,Glendale,396,10370
China,Shuigou’ao,Cardinal,8207,
Costa Rica,Siquirres,Westerfield,4035,70301
Russia,Pokrovka,Leroy,5786,182160
Portugal,Avelinha,Columbus,6,3505-125
China,Huixing,Pleasure,7,
France,Flers,Pine View,16,61104 CEDEX
China,Qingshuihe,John Wall,24951,
Sweden,Ljungbyholm,Orin,43,388 31
Panama,Chame,John Wall,4299,
Russia,Klyuchevskiy,Utah,6301,632514
Japan,Hitachi,Pleasure,7273,319-1417
Indonesia,Tuwa,Prairieview,60,
Indonesia,Tundagan,Sutherland,5060,
China,Gouping,Lindbergh,8160,
Philippines,Kanluran,Rigney,3783,4107
Colombia,El Charco,Grover,4,527537
Slovenia,Kostel,Petterle,200,8331
Russia,Rognedino,Duke,21587,242774
Indonesia,Cibungur,Welch,85,
Sweden,Nora,Daystar,9978,713 30
China,Haishan,Ronald Regan,447,
Yemen,Dhī Nā‘im,Fairview,1,
Canada,Golden,Emmet,8911,J9Z
Indonesia,Ketawang,Clemons,2616,
Philippines,Barurao,Delaware,92,8108
China,Luoping,Spohn,36224,
Mexico,Reforma,Clarendon,69318,32600
Ivory Coast,Guiglo,Iowa,1,
Peru,Santa Rosa,Northport,787,
Philippines,Wañgan,Barnett,2,2442
China,Mayanhe,Rutledge,267,
Peru,Mamara,Bellgrove,2,
Indonesia,Oesena,Elgar,63719,
China,Huilong,Jenifer,3,
Indonesia,Bonsari,Oak Valley,89,
Russia,Khadyzhensk,Prairieview,9,352680
Croatia,Karlobag,Bayside,46703,53288
Uzbekistan,G‘azalkent,Fallview,6808,
Sweden,Rimbo,Corry,65,762 91
Thailand,Samut Songkhram,Hoard,1,75110
Iran,Takāb,Mallard,693,
Nicaragua,Bluefields,Rockefeller,26,
Indonesia,Weda,Green,472,
Iran,Isfahan,Arkansas,670,
Norway,Oslo,Kipling,26629,0506
Indonesia,Desa Margaluyu,Northridge,7,
Paraguay,Colonia Neuland,Golf View,4,
Ecuador,Calceta,Memorial,13998,
Brazil,Pombal,Steensland,338,58840-000
Lithuania,Šventoji,Golden Leaf,11,98044
Tunisia,La Mohammedia,Kipling,987,
Thailand,Nong Kung Si,Superior,93891,46220
Macedonia,Pehčevo,Canary,488,2326
Philippines,San Enrique,Gerald,13,6104
Russia,Vanino,Welch,8,682860
Philippines,Silago,Kipling,8,6607
France,Schiltigheim,Riverside,6,67311 CEDEX
Colombia,Marinilla,Bayside,4051,054028
Brazil,Andradas,Kim,23,37795-000
United States,Sacramento,Canary,3,94297
Thailand,Sawaengha,Shopko,39991,14150
Libya,Yafran,Mifflin,65,
China,Shangtuhai,Sullivan,23,
Armenia,Ushi,Ronald Regan,35,
Mongolia,Dzüünbulag,Golf Course,8,
China,Zhanghekou,Kings,47001,
Czech Republic,Jablonec nad Jizerou,Dunning,3,512 43
Ireland,Ballyboden,Red Cloud,366,D6W
China,Changhe,Norway Maple,3,
Argentina,Chamical,2nd,9,4608
Indonesia,Noebesa,Miller,5143,
Peru,Pacucha,Division,9,
France,Hagondange,Harper,981,57304 CEDEX
Indonesia,Bendorubuh,John Wall,7739,
Indonesia,Pangawaren,East,10189,
Russia,Leninskiy,Schmedeman,60,678944
United States,Dallas,Pankratz,24004,75287
Poland,Regulice,Hollow Ridge,5725,33-164
Poland,Korsze,Colorado,9748,11-430
Russia,Novocherkassk,Chive,81,346408
Turkmenistan,Yylanly,Larry,7597,
Ireland,Thomastown,Hayes,92,W34
United States,Racine,Utah,718,53405
Peru,Circa,Carberry,255,
Greece,Lófos,Burrows,30,
China,Zhangjiaji,Sundown,6368,
United States,Savannah,Eastlawn,48505,31416
Indonesia,Sukamaju,Hermina,71,
Brazil,Itanhandu,Fulton,612,37464-000
Uganda,Lwengo,Springview,9316,
Brazil,Paragominas,Gateway,5,68625-000
China,Caopie,Cascade,15775,
China,Sanhe,Golf Course,95,
France,Évreux,Kings,961,27929 CEDEX 9
Philippines,Teresita,Hintze,101,9512
Paraguay,Colonia Catuete,Park Meadow,39,
Japan,Kanekomachi,Ohio,73,371-0858
Russia,Vyritsa,Stang,9,188382
Portugal,Alfena,Petterle,783,4445-005
Croatia,Koška,Duke,4945,31224
China,Gutang,John Wall,4,
Serbia,Bačka Palanka,Fairview,911,
Armenia,Dalarik,Rowland,408,
Thailand,Kaeng Khro,Walton,375,36150
Sweden,Grängesberg,4th,51106,772 30
Peru,Acobamba,Pine View,74,
Indonesia,Bakungan,Kingsford,27,
North Korea,Kyŏngsŏng,Valley Edge,8,
