,id,artist,artistRole,artistId,title,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
10,47638,"Turner, Joseph Mallord William",artist,558,Cliffs and Cornfields by the Meuse with Poilvache in the Distance,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1839.0,1856.0,support: 141 x 188 mm,141.0,188.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D20/D20286_8.jpg,http://www.tate.org.uk/art/artworks/turner-cliffs-and-cornfields-by-the-meuse-with-poilvache-in-the-distance-d20286
11,63947,"Turner, Joseph Mallord William",artist,558,Ehrenbreitstein,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1841.0,1856.0,support: 243 x 300 mm,243.0,300.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D40/D40181_8.jpg,http://www.tate.org.uk/art/artworks/turner-ehrenbreitstein-d40181
12,2373,"Cohen, Bernard",artist,924,Phoenix,Oil paint and drawing on canvas,Purchased 1962,1961.0,1962.0,support: 1017 x 1267 mm,1017.0,1267.0,,mm,date inscribed,© Bernard Cohen,http://www.tate.org.uk/art/images/work/T/T00/T00481_8.jpg,http://www.tate.org.uk/art/artworks/cohen-phoenix-t00481
13,24349,"Chinnery, George",artist,92,[title not known],Ink and watercolour on paper,Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 210 x 292 mm,210.0,292.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T08/T08782_8.jpg,http://www.tate.org.uk/art/artworks/chinnery-title-not-known-t08782
14,50957,"Turner, Joseph Mallord William",artist,558,Interior of Church; Also Two Spires,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1832.0,1856.0,support: 114 x 187 mm,114.0,187.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D23/D23620_8.jpg,http://www.tate.org.uk/art/artworks/turner-interior-of-church-also-two-spires-d23620
15,5010,"Gaudier-Brzeska, Henri",artist,1143,The Dancer,Bronze,Presented by Sir Edward Beddington-Behrens 1965,1913.0,1965.0,"object: 775 x 178 x 197 mm, 10.8 kg",775.0,178.0,197.0,mm,date inscribed,,http://www.tate.org.uk/art/images/work/T/T00/T00762_8.jpg,http://www.tate.org.uk/art/artworks/gaudier-brzeska-the-dancer-t00762
16,34877,"Turner, Joseph Mallord William",artist,558,Inscription by Turner: A Note on Reflection,Pen and ink on paper,Accepted by the nation as part of the Turner Bequest 1856,1809.0,1856.0,support: 88 x 115 mm,88.0,115.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D07/D07488_8.jpg,http://www.tate.org.uk/art/artworks/turner-inscription-by-turner-a-note-on-reflection-d07488
17,36443,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1810.0,1856.0,support: 110 x 178 mm,110.0,178.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d09064
18,42457,"Turner, Joseph Mallord William",artist,558,"Four Landscape Views near Tivoli, including the Tomb of the Plautii and Ponte Lucano",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 186 x 112 mm,186.0,112.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15101_8.jpg,http://www.tate.org.uk/art/artworks/turner-four-landscape-views-near-tivoli-including-the-tomb-of-the-plautii-and-ponte-lucano-d15101
19,41041,"Turner, Joseph Mallord William",artist,558,Linlithgow,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1818.0,1856.0,support: 112 x 186 mm,112.0,186.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D13/D13674_8.jpg,http://www.tate.org.uk/art/artworks/turner-linlithgow-d13674
20,31562,"Turner, Joseph Mallord William",artist,558,View of Fonthill Abbey,Graphite and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1799.0,1856.0,support: 1045 x 712 mm,1045.0,712.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D04/D04167_8.jpg,http://www.tate.org.uk/art/artworks/turner-view-of-fonthill-abbey-d04167
21,49767,"Turner, Joseph Mallord William",artist,558,"Dudley: The Castle, Priory and Priory Hall",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,support: 78 x 110 mm,78.0,110.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D22/D22429_8.jpg,http://www.tate.org.uk/art/artworks/turner-dudley-the-castle-priory-and-priory-hall-d22429
22,4899,"Gainsborough, Thomas",artist,199,The Artist’s Daughter Margaret,Oil paint on canvas,Presented by the family of Richard J. Lane 1896,1772.0,1896.0,support: 756 x 629 mm frame: 1010 x 870 x 113 mm,756.0,629.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N01/N01482_8.jpg,http://www.tate.org.uk/art/artworks/gainsborough-the-artists-daughter-margaret-n01482
23,79972,"Bjørlo, Per Inge",artist,6500,Pressure,Linocut and lithograph on paper,"Presented by Tyler Graphics Ltd in honour of Pat Gilmour, Tate Print Department 1974-7, 2004",1996.0,2004.0,image: 778 x 1183 mm,778.0,1183.0,,mm,,,,http://www.tate.org.uk/art/artworks/bjrlo-pressure-p12029
24,9486,"Millais, Sir John Everett, Bt",artist,379,The Wise Virgins,Wood engraving on paper,Presented by Gilbert Dalziel 1924,1864.0,1924.0,image: 140 x 108 mm,140.0,108.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00794_8.jpg,http://www.tate.org.uk/art/artworks/millais-the-wise-virgins-a00794
25,79945,"Bjørlo, Per Inge",artist,6500,Listening Earth,Linocut on paper,"Presented by Tyler Graphics Ltd in honour of Pat Gilmour, Tate Print Department 1974-7, 2004",1999.0,2004.0,image: 455 x 438 mm,455.0,438.0,,mm,,,,http://www.tate.org.uk/art/artworks/bjrlo-listening-earth-p12025
26,14487,"Trevelyan, Julian",artist,2065,Ombla,Graphite on paper,Purchased 1974,1931.0,1974.0,support: 270 x 349 mm,270.0,349.0,,mm,date inscribed,© The estate of Julian Trevelyan,http://www.tate.org.uk/art/images/work/T/T01/T01921_8.jpg,http://www.tate.org.uk/art/artworks/trevelyan-ombla-t01921
27,62065,"Turner, Joseph Mallord William",artist,558,"Buildings, with Mountains",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,support: 244 x 301 mm,244.0,301.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D34/D34911_8.jpg,http://www.tate.org.uk/art/artworks/turner-buildings-with-mountains-d34911
28,67338,"Freedman, Barnett",artist,1116,Untitled,Lithograph on paper,Presented by Robert Simon 1976,1942.0,1976.0,unconfirmed: 940 x 584 mm,940.0,584.0,,mm,,© The estate of Barnett Freedman,http://www.tate.org.uk/art/images/work/P/P11/P11815_8.jpg,http://www.tate.org.uk/art/artworks/freedman-untitled-p11815
29,58917,"Turner, Joseph Mallord William",artist,558,Tower among Mountains,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1833.0,1856.0,support: 203 x 109 mm,203.0,109.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D31/D31693_8.jpg,http://www.tate.org.uk/art/artworks/turner-tower-among-mountains-d31693
30,42694,"Turner, Joseph Mallord William",artist,558,Lake Nemi and the Town of Nemi,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 113 x 189 mm,113.0,189.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15338_8.jpg,http://www.tate.org.uk/art/artworks/turner-lake-nemi-and-the-town-of-nemi-d15338
31,61897,"Turner, Joseph Mallord William",artist,558,[blank],,Accepted by the nation as part of the Turner Bequest 1856,1830.0,1856.0,support: 137 x 111 mm,137.0,111.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D34/D34735_8.jpg,http://www.tate.org.uk/art/artworks/turner-blank-d34735
32,29255,"Turner, Joseph Mallord William",artist,558,[blank],,Accepted by the nation as part of the Turner Bequest 1856,1798.0,1856.0,support: 214 x 140 mm,214.0,140.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d01851
33,43977,"Turner, Joseph Mallord William",artist,558,Fiesole from the South,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 113 x 189 mm,113.0,189.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D16/D16621_8.jpg,http://www.tate.org.uk/art/artworks/turner-fiesole-from-the-south-d16621
34,11579,"Phillips, Esq Tom",artist,1764,[no title: p. 238],Screenprint and letterpress on paper,Presented by the Institute of Contemporary Prints 1975,1970.0,1975.0,image: 190 x 140 mm,190.0,140.0,,mm,,© Tom Phillips,http://www.tate.org.uk/art/images/work/P/P01/P01501_8.jpg,http://www.tate.org.uk/art/artworks/phillips-no-title-p-238-p01501
35,26740,"Schwitters, Kurt",artist,1912,Koi,Printed paper and ink on paper,Accepted by HM Government in lieu of inheritance tax and allocated to Tate 2007,1932.0,2007.0,support: 157 x 125 mm,157.0,125.0,,mm,,"© DACS, 2014",http://www.tate.org.uk/art/images/work/T/T12/T12395_8.jpg,http://www.tate.org.uk/art/artworks/schwitters-koi-t12395
36,54167,"Turner, Joseph Mallord William",artist,558,Tobermory from Eas Brae,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1831.0,1856.0,support: 116 x 186 mm,116.0,186.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D26/D26830_8.jpg,http://www.tate.org.uk/art/artworks/turner-tobermory-from-eas-brae-d26830
37,4254,"Fehr, Henry C",artist,1085,The Rescue of Andromeda,Bronze,Presented by the Trustees of the Chantrey Bequest 1894,1893.0,1894.0,object: 2743 x 2591 x 2184 mm,2743.0,2591.0,2184.0,mm,date inscribed,,http://www.tate.org.uk/art/images/work/N/N01/N01749_8.jpg,http://www.tate.org.uk/art/artworks/fehr-the-rescue-of-andromeda-n01749
38,44132,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 115 x 94 mm,115.0,94.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d16776
39,52199,"Turner, Joseph Mallord William",artist,558,"The Harbour at Cowes, from the Battlements of East Cowes Castle",Chalk and pen and ink on paper,Accepted by the nation as part of the Turner Bequest 1856,1827.0,1856.0,support: 140 x 192 mm,140.0,192.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24862_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-harbour-at-cowes-from-the-battlements-of-east-cowes-castle-d24862
40,1490,"Briggs, Henry Perronet",artist,55,Romeo and Juliet - Act II Scene 5 (‘Juliet and her Nurse’),Oil paint on canvas,Presented by Robert Vernon 1847,1827.0,1847.0,support: 889 x 698 mm,889.0,698.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N00/N00376_8.jpg,http://www.tate.org.uk/art/artworks/briggs-romeo-and-juliet-act-ii-scene-5-juliet-and-her-nurse-n00376
41,16256,"Wilson, Richard",studio of,606,Landscape with Castle,Oil paint on canvas,Presented by Gosta Stenman 1933,,1933.0,support: 362 x 527 mm,362.0,527.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N04/N04745_8.jpg,http://www.tate.org.uk/art/artworks/wilson-landscape-with-castle-n04745
42,37179,"Turner, Joseph Mallord William",artist,558,"A Road Leading to a Bridge with Steep Hills Beyond, in Devon or Yorkshire",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1814.0,1856.0,support: 179 x 254 mm,179.0,254.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-a-road-leading-to-a-bridge-with-steep-hills-beyond-in-devon-or-yorkshire-d09800
43,20040,"Turner, Joseph Mallord William",after,558,"On the Thames, engraved by R. Wallis",Engraving on paper,Transferred from the British Museum 1988,1859.0,1988.0,,,,,,,,http://www.tate.org.uk/art/images/work/T/T06/T06312_8.jpg,http://www.tate.org.uk/art/artworks/turner-on-the-thames-engraved-by-r-wallis-t06312
44,42273,"Turner, Joseph Mallord William",artist,558,Town in Valley - ?Ponte d’Ozzio [Turner],Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1828.0,1856.0,support: 97 x 132 mm,97.0,132.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D14/D14916_8.jpg,http://www.tate.org.uk/art/artworks/turner-town-in-valley-ponte-dozzio-turner-d14916
45,40697,"Turner, Joseph Mallord William",artist,558,The Bass Rock,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1818.0,1856.0,support: 99 x 159 mm,99.0,159.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D13/D13329_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-bass-rock-d13329
46,36512,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1810.0,1856.0,support: 110 x 178 mm,110.0,178.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d09133
47,6319,"Duncombe, Susanna",artist,2284,Two Girls Dancing,Graphite and gouache on paper,Presented by Mrs Joan Highmore Blackhall and Dr R.B. McConnell 1986,,1986.0,support: 64 x 82 mm,64.0,82.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T04/T04272_8.jpg,http://www.tate.org.uk/art/artworks/duncombe-two-girls-dancing-t04272
48,50003,"Turner, Joseph Mallord William",artist,558,Evening: A Boat on a River with a Distant Tower,Watercolour and gouache on paper,Accepted by the nation as part of the Turner Bequest 1856,1827.0,1856.0,support: 139 x 193 mm,139.0,193.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D22/D22666_8.jpg,http://www.tate.org.uk/art/artworks/turner-evening-a-boat-on-a-river-with-a-distant-tower-d22666
49,2314,"Clough, Prunella",artist,921,Jelly Fish,Lithograph on paper,Purchased 1984,1950.0,1984.0,image: 254 x 323 mm,254.0,323.0,,mm,date inscribed,© The estate of Prunella Clough,http://www.tate.org.uk/art/images/work/P/P07/P07908_8.jpg,http://www.tate.org.uk/art/artworks/clough-jelly-fish-p07908
50,41749,"Turner, Joseph Mallord William",artist,558,Gondolas on the Grand Canal,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 112 x 185 mm,112.0,185.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D14/D14386_8.jpg,http://www.tate.org.uk/art/artworks/turner-gondolas-on-the-grand-canal-d14386
51,42740,"Turner, Joseph Mallord William",artist,558,"The Via Appia Antica, Rome: the Circus of Maxentius; and Two Views Approaching the Tomb of Cecilia Metella",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 113 x 189 mm,113.0,189.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D15/D15384_8.jpg,http://www.tate.org.uk/art/artworks/turner-the-via-appia-antica-rome-the-circus-of-maxentius-and-two-views-approaching-the-d15384
52,41058,"Turner, Joseph Mallord William",artist,558,"Edinburgh, from the Water of Leith",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1818.0,1856.0,support: 112 x 186 mm,112.0,186.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D13/D13691_8.jpg,http://www.tate.org.uk/art/artworks/turner-edinburgh-from-the-water-of-leith-d13691
53,35846,"Turner, Joseph Mallord William",artist,558,"Cliffs Seen through Trees, Probably in South Devon",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1811.0,1856.0,support: 75 x 117 mm,75.0,117.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D08/D08459_8.jpg,http://www.tate.org.uk/art/artworks/turner-cliffs-seen-through-trees-probably-in-south-devon-d08459
54,67818,"Paolozzi, Sir Eduardo",artist,1738,[no title],Screenprint on paper,Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1975,1962.0,1975.0,unconfirmed: 298 x 210 mm,298.0,210.0,,mm,,© The Eduardo Paolozzi Foundation,http://www.tate.org.uk/art/images/work/P/P09/P09067_8.jpg,http://www.tate.org.uk/art/artworks/paolozzi-no-title-p09067
55,9532,"Millais, Sir John Everett, Bt",artist,379,Miss Eveleen Tennant,Oil paint on canvas,Presented by Harold Myers 1941,1874.0,1941.0,support: 1079 x 800 mm ,1079.0,800.0,,mm,date inscribed,,http://www.tate.org.uk/art/images/work/N/N05/N05260_8.jpg,http://www.tate.org.uk/art/artworks/millais-miss-eveleen-tennant-n05260
56,23843,"Towne, Francis",artist,553,Landscape with Rocks,"Graphite, watercolour and ink on paper",Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,,1997.0,support: 208 x 295 mm,208.0,295.0,,mm,,,http://www.tate.org.uk/art/images/work/T/T09/T09086_8.jpg,http://www.tate.org.uk/art/artworks/towne-landscape-with-rocks-t09086
57,35941,"Turner, Joseph Mallord William",artist,558,A West Country Coastline with Buildings,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1811.0,1856.0,support: 75 x 117 mm,75.0,117.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D08/D08554_8.jpg,http://www.tate.org.uk/art/artworks/turner-a-west-country-coastline-with-buildings-d08554
58,11813,"Phillips, Esq Tom",artist,1764,Canto XXIX: [no title],Lithograph on paper,Purchased 1983,1983.0,1983.0,image: 292 x 203 mm,292.0,203.0,,mm,,© Tom Phillips,http://www.tate.org.uk/art/images/work/P/P07/P07874_8.jpg,http://www.tate.org.uk/art/artworks/phillips-canto-xxix-no-title-p07874
59,101219,"Abbott, Berenice",artist,2756,Leadbelly,"Photograph, gelatin silver print on paper",Accepted by HM Government in lieu of inheritance tax from the Estate of Barbara Lloyd and allocated to Tate 2009,,2010.0,unconfirmed: 250 x 210 mm,250.0,210.0,,mm,,,,http://www.tate.org.uk/art/artworks/abbott-leadbelly-p13099
60,8046,"Kitaj, R.B.",artist,1416,(34) Vampyr,Screenprint on paper,Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1975,1969.0,1975.0,image: 462 x 327 mm,462.0,327.0,,mm,,© The estate of R. B. Kitaj,http://www.tate.org.uk/art/images/work/P/P04/P04487_8.jpg,http://www.tate.org.uk/art/artworks/kitaj-34-vampyr-p04487
61,8000,"Kitaj, R.B.",artist,1416,The Romance of the Civil Service,Screenprint on paper,Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1975,1967.0,1975.0,image: 1019 x 692 mm,1019.0,692.0,,mm,,© The estate of R. B. Kitaj,http://www.tate.org.uk/art/images/work/P/P04/P04441_8.jpg,http://www.tate.org.uk/art/artworks/kitaj-the-romance-of-the-civil-service-p04441
62,8410,"Lausen, Jens",artist,1475,Map No. III Ariadne’s Thread,Screenprint on paper,Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1975,1969.0,1975.0,image: 679 x 562 mm,679.0,562.0,,mm,date inscribed,© Jens Lausen,http://www.tate.org.uk/art/images/work/P/P04/P04570_8.jpg,http://www.tate.org.uk/art/artworks/lausen-map-no-iii-ariadnes-thread-p04570
63,50372,"Turner, Joseph Mallord William",artist,558,Brest: The Church of St-Louis,Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1826.0,1856.0,support: 168 x 108 mm,168.0,108.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D23/D23035_8.jpg,http://www.tate.org.uk/art/artworks/turner-brest-the-church-of-st-louis-d23035
64,26429,"Yanagi, Yukinori",artist,2676,Pacific,"49 Perspex boxes, plastic tubes and artificial sand",Purchased 1998,1996.0,1998.0,displayed: 2820 x 4050 x 18 mm,2820.0,4050.0,18.0,mm,,© Yukinori Yanagi,http://www.tate.org.uk/art/images/work/T/T07/T07464_8.jpg,http://www.tate.org.uk/art/artworks/yanagi-pacific-t07464
65,545,"Appelbee, Leonard",artist,655,Carp,Lithograph on paper,,1970.0,1975.0,image: 448 x 594 mm,448.0,594.0,,mm,,,,http://www.tate.org.uk/art/artworks/appelbee-carp-p06007
66,69510,"Jones, George",artist,300,[title not known],Ink on paper,Presented by the artist's widow 1888,,1888.0,,,,,,,,http://www.tate.org.uk/art/images/work/A/A01/A01380_8.jpg,http://www.tate.org.uk/art/artworks/jones-title-not-known-a01380
67,35124,"Turner, Joseph Mallord William",artist,558,Notes from ‘The Elements of Architecture’ by Sir Henry Wotton (Inscription by Turner),Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1809.0,1856.0,support: 110 x 88 mm,110.0,88.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D07/D07735_8.jpg,http://www.tate.org.uk/art/artworks/turner-notes-from-the-elements-of-architecture-by-sir-henry-wotton-inscription-by-turner-d07735
68,40401,"Turner, Joseph Mallord William",artist,558,Passage Nord [Turner],Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1817.0,1856.0,support: 156 x 93 mm,156.0,93.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D13/D13033_8.jpg,http://www.tate.org.uk/art/artworks/turner-passage-nord-turner-d13033
69,59601,"Turner, Joseph Mallord William",artist,558,"Mountains with Bridge, Etc.",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1840.0,1856.0,support: 149 x 89 mm,149.0,89.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D32/D32388_8.jpg,http://www.tate.org.uk/art/artworks/turner-mountains-with-bridge-etc-d32388
70,14755,"Turner, Joseph Mallord William",artist,558,Apullia in Search of Appullus,Oil paint on canvas,Accepted by the nation as part of the Turner Bequest 1856,1814.0,1856.0,support: 1485 x 2410 mm,1485.0,2410.0,,mm,,,http://www.tate.org.uk/art/images/work/N/N00/N00495_8.jpg,http://www.tate.org.uk/art/artworks/turner-apullia-in-search-of-appullus-n00495
71,52102,"Turner, Joseph Mallord William",artist,558,"Nantes: Promenade on the Cours St-Pierre, near the Château","Watercolour, gouache and pen and watercolour on paper",Accepted by the nation as part of the Turner Bequest 1856,1826.0,1856.0,support: 131 x 182 mm,131.0,182.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24765_8.jpg,http://www.tate.org.uk/art/artworks/turner-nantes-promenade-on-the-cours-st-pierre-near-the-chateau-d24765
72,60214,"Turner, Joseph Mallord William",artist,558,"Bridge, with Town and Mountains. ?Keran [Turner]",Graphite on paper,Accepted by the nation as part of the Turner Bequest 1856,1841.0,1856.0,support: 181 x 111 mm,181.0,111.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D33/D33032_8.jpg,http://www.tate.org.uk/art/artworks/turner-bridge-with-town-and-mountains-keran-turner-d33032
73,42578,"Turner, Joseph Mallord William",artist,558,Blank,,Accepted by the nation as part of the Turner Bequest 1856,1819.0,1856.0,support: 161 x 101 mm,161.0,101.0,,mm,,,,http://www.tate.org.uk/art/artworks/turner-blank-d15222
74,52024,"Turner, Joseph Mallord William",artist,558,St-Germain-en-Laye,Gouache and watercolour on paper,Accepted by the nation as part of the Turner Bequest 1856,1833.0,1856.0,support: 140 x 195 mm,140.0,195.0,,mm,,,http://www.tate.org.uk/art/images/work/D/D24/D24687_8.jpg,http://www.tate.org.uk/art/artworks/turner-st-germain-en-laye-d24687
75,19808,"Turner, Joseph Mallord William",after,558,"Okehampton, Devonshire, engraved by Willmore",Engraving on paper,Transferred from the British Museum 1988,1828.0,1988.0,,,,,,,,http://www.tate.org.uk/art/images/work/T/T06/T06080_8.jpg,http://www.tate.org.uk/art/artworks/turner-okehampton-devonshire-engraved-by-willmore-t06080
